NOVGE,WPZSM,HIJCL,NSCVV,HULVX,KJPDI,GEJML,LWADJ,SGWKX,IDZGQ
1,GHTzt,5.16233,1.17,1,6.28,2,BYrVoVFa,3.53278,1.68008
1,2,6,4,fbyMQysG,5.08,2,MqWuRKID,5.73818,3.29012
2,nAvVZ,4.32651,5.61,MvlmseyL,1.2,2,5.8922,2.26235,7.80742
2,1.61,yLYpwAn,zmqsEZuok,2.97922,KOujPVNnQE,2.463,6.7301,3,4
3.653,KSPZx,3.11405,1.22,lWvlbsQk,6.88,1,3,1.60779,5
aCqe,Qlnqo,1.40187,8.39,1.38187,3,2,5.5803,3,DPRgDqReha
IlLR,2.77,1.23618,5,aQBzKegX,7.12,doA,VyXAUZTT,1,KtmZrMkwfX
3,IyreI,eXSfRYR,yTzvCclmd,7,8.94,BHD,4,5.97634,9.05958
3.713,xveaB,KLhutCW,2.08,6,8.72,1.364,1,BaKAbD,JgCjzQRTHg
abnA,2,6,5.32,4.02662,CjlDpnfZNE,elf,6,1.0314,1
1.394,2,2,DSUHjXXOe,2,4.66,2,4.9957,2,WLudqKsVyp
ZWqF,2,5,5.94,ZlzwIajy,wjlYIKrlZM,2.788,3,FujzmN,2
CVpN,dNvRp,4.55619,WGAJqbLPf,5,8,RAM,2,4,6.30504
1,2.33,6.24533,SDrONQket,cEfuHILf,OYKTDQHTRd,1.401,4.4501,3.12481,3
wBIG,XTFPZ,3,1,6,3,aSH,7.6955,fpvJmQ,9
2,3.98,1.90021,lZtpLOWWH,6,3,1.88,5.7839,1,5
nYdJ,UTbdD,xMoiLUN,6.03,1,1.32,RvJ,6.3138,5.5966,1
2,2,UBWlcCH,5.17,RAlxfRyk,4,uBX,5.4822,fqNnaO,9.21645
FNcf,4,6.70477,2,BZXIgQYf,7,1.422,dbVhamrH,sUWFhq,3.02625
qLCU,1.55,3,2,1,qiXlTSUncK,1,TgswwGhF,dtDFmQ,wfDFXzihTb
hfmJ,4.62,UMCPckK,7,5,hzOVwKdzAO,2,7,uMuFor,7
ruDY,2,seYWviK,7,5,1,1,2.9241,1.42683,2
1,4.9,2,6,1.83512,6.04,pmv,LOOUBNbC,SCImZe,KYEXNfRlDo
2,dQQay,5.15896,1,soCrydtD,1.04,1,4.508,NbazeY,9
2,4,AjkMUdD,wSUbmCYHq,2.58916,4.28,TWm,6.5056,2,6
2.817,1,6,IQohtonLy,xNkzfiQj,dVbpLWFvtd,wFH,4.8307,1,4.60592
2.975,3.14,2,2.75,7,mnHRcgQnTA,xRK,3,YeImQE,2.36698
1,bAJBw,AkBUaWh,AbrpApVtF,ADdXcufY,3.8,PiX,2.2722,fPVouN,LXxlZRihpr
3,4,2,8,2,oudMzzNrEd,2.483,EdPaFINs,5.87773,eYrrxHTDBg
tnBz,4,3,6,7.06908,IsGdFCcSLO,2.378,6,pvWFOG,3
2.815,3,3.57999,2.19,5.61841,8.27,zjb,dcvlFfBD,YPrQmR,7
1,TatJu,DdmmMWo,4.18,1,cRJFzfCFRD,opA,5.0404,2,rfRKGEvIoB
1,3.82,NidztgW,8.92,CbOfhWvA,1,1,2.2542,3.15507,NqXYLNiGBX
3,2.22,6,6,6,QlWDqHOqtT,2.353,ikmqRnNF,4,7
2,1.94,2.93845,NJmPhDvZE,2.04105,5.06,2.598,5.6262,3.13963,gWRybCBUUa
1,2,5.54336,6,4.22002,1,1,6.3995,4,7.59776
1,3,bOuHNWE,1,4.43907,9.79,Agv,1,EzePHT,7
QDwJ,3,vlVZWum,WYrfllPNq,kWeoywWc,LPszcopPzk,2,4.5904,5.19978,4.028
vAUC,iAKEn,6.60025,8.08,fYPltnZW,1.2,2.763,5,wbiRuj,3
ucYT,jIiEm,SmgWdmg,2.06,5,8.36,2,2,XMGlLd,CFaMoGjJpu
nWLs,1.59,cBcfVUM,8,3,GkuuuXWsXK,RFy,1.8809,3.85493,3.98678
WYcQ,rGtbt,sDEUSsa,3,eENeptHX,3,2.412,2,2.5071,tAcJBsKbAB
Wmko,4.02,3.52937,xbnOoiOdK,6,2.48,2,itvSHcMj,1,vHLpwEtBpo
oVTk,afvec,3.52198,7.35,5,2.57,2,3.6583,4.85175,4.14785
jPDt,3,jNdJFOm,3.65,7.99354,5,BBB,jAbuyqfE,TYDepj,6
2.012,1.93,1,akoLmhsLr,CseWxISc,3,2,4,5.31631,laBIkSssNF
