VEHFN,HLLUO,GAVWJ,ZEBCS,RPDSS,MPDSV,HIATF,OIFNR,WYBCJ,QPLNO,UZWIX,FSDML,XPUCO,WYDHV,OIACP,PSZAL,NQLQX,ZXYYW,ADRBO,QYZVS
1.63619,6,oNaLaawDQ,CNGk,1.63892,vSKrDBVr,1.24,1,1,vWH,3.13,1,DlcMM,1,3,oftH,bNa,aNk,sXMzzyAzIp,Psz
yZzp,5,3.5424,hVOM,qE,1,1.89,qyhWqFuQeC,1.833,Dlc,BgVtvUSrE,oNcN,3.08763,FBtDG,3.6238,WYIR,1,eJL,iPqMXZBmoN,1
1,1.371,6,1,Fc,4.2488,JRGY,7,Ccndo,1,8,dxoO,1.43156,1.33438,oRGn,1.41,2.8463,PxL,3.68952,2
FYDt,5,RQWeTaFXM,2,1,2,2,HZOnDljFNy,3,2,5,1.04521,EeiWY,FyRfo,1.0637,1,2,2,cRJATgsolb,1
xEOO,6,8,2.86,1,6.9565,2.98,1,2,mIk,4.29,1,nJmSy,1.25063,TwPM,3.38,1,1,2.13458,1
1.4903,AustJwx,eCZrVBxYt,tQqA,uu,5,KauV,5,1,2,uuhGIpIji,FTNX,4,2.02514,esBj,YtEY,2,cev,7,1.75495
3.38276,QPQDkjJ,8.4285,3,1,4.9592,2.76,1,4,YSc,6,2,qMcwT,1.79431,3,3,TSQ,2.03,mDVievYjtb,Cvd
rfDN,2,5,qaJf,1.08222,lxEtCbpN,UrBs,6,4.144,cjd,6,2.58535,4.04689,YtKJS,1.2245,2,2,1,7,1.00717
2.89637,lRayiAw,BAnKizvNd,1.956,ez,1.634,2,9.96573,fEFiP,VBy,5,2.48851,3,sDMSO,uEmb,1,2,2.93,9,2.47835
1,4.332,eLUtphgaG,1.569,1,3,1,2,2,1,2,2.93227,RCpUC,4,doaL,symA,1.5431,1.84,wtNvowDuwb,itQ
3.99614,BxujxPn,5,rnzx,1,LpjZqmGo,1.15,2.75124,4,2,UjMBqEpSa,3.56389,vQpcf,1,3.6207,1.61,1,1,3.43846,VEU
2,5.989,6.6084,mOTD,1,4,1,7,2,2.25,5,1,OPjju,3,1.8082,3.23,Kbr,2,7,1.10862
1.56097,3.756,5.5165,1,BP,7,nnfa,qnBKehygAO,AHiJN,2.15,3,1.10463,3.18419,2,QTTP,nkrH,eyU,2,LskbqoJFgN,FcY
2,5.31,3.1269,3,IN,CZEzfPjI,1.9,rLdSCePXAy,MnSWt,MIB,uhFhfkqmn,2,ihEUt,3,sxXb,3,zdU,1.14,hJnvXnSxro,1.74687
yxni,1.197,7.3532,OPtn,1.0218,4,2.59,8.9409,3,1.48,2,2,1,2,TlpD,3.61,1,2.08,8,XBY
VDDw,3.386,UOvNdhtBK,1,1,7,3.57,7.3601,3.347,IZF,1.91,1.94912,2,4.86266,3.1607,3,2.5934,1.94,SaCZtdziuq,oTr
1.77064,5.234,OJzZYqWqc,2,1.28714,2,3,8,IOQMI,2.48,7.79,2,1.85652,3.42213,ianI,ausy,2.8243,1,3.72126,2.81781
jJrl,dOIYjXh,ZZFktufsO,1.487,tY,INlqbaEn,WOSF,6,fsoUb,ZLr,8,3,pMPla,ILCbZ,3,2.21,1,1,9.4421,IJg
