NRJLMAWIJM,PXCOGPCILC,BZXNTYYUXK,AQUQSZDXLF,GSPJXJCYBZ,XGIWSANBMP,GRDEGJWDBV,KMPLZHUEBT,NMABUKJTGW,NMPKGQTGBF
3,1.4103,otwHINOEwA,BKpgmPGHVI,77,EuupHgYXqh,79,uqykYDzjqZ,50,9.709
21,3.3165,bZhUChWsgO,brbCDEFNTb,80,rIMKtZlnRe,22,AYTuvwJEix,71,10.1458
68,8.6725,TCWaGeHMOr,fIvkIkqIdu,31,kQnfFEXCdh,7,qsoAwtCiTy,74,5.5008
26,5.41,QDtslYHaPY,rlDVASCiuW,56,WohuNuKnaT,30,cazcRacfkb,33,4.0955
27,9.4825,nZVqChqxKO,yJyigcFNdq,72,OVgJbRdNiY,75,sDgydldVOU,11,5.3642
38,2.686,AoBUHHIhaE,gFkSemfIVQ,91,XUcXnFjEel,12,PsLOJTpWTo,72,8.8316
78,1.0379,VysgGKPiBQ,fNulNkeRkq,10,TESwMZSlqY,52,jtOSPdSFKF,61,10.2592
82,3.3758,snOioAtRPF,aJmXpQOBbU,62,WosKtJjcBl,59,FbmRFdmDhQ,87,6.2732
18,7.2082,YDkaHTyywE,NJVXcImaaA,89,RZvDlDNdBD,89,NtegJYvRLg,19,4.0475
49,7.7108,ujPZOrkfsq,oZbzadhhgy,5,GzaTmmjmfq,99,BPimRZbXuo,76,5.4819
48,2.9838,kyxRlokIEA,SPsQSiBiyS,89,YtvaCIodFF,42,RUFralOagr,35,3.7689
1,10.9439,SfJnuLhhTs,frbDIgFBge,51,lXaPPWNbdA,87,EOwhKDkXHy,72,10.1241
5,8.3564,mUeTHpNKFp,hlWsKRTaBn,100,iaAkbkRoem,64,IejzOxiKAn,14,4.6593
80,3.8616,XSmdITSVSt,vHUrTbZuoa,72,JXjMFgXSGJ,39,pGTqVCRdZU,98,5.2215
100,5.7608,WMRQxCvjBl,mYjzwTjOUo,88,LHcjnQFivX,4,BicwooECNk,97,9.2179
